+---------------------------------------------------------------------------------+--------------------+--------------------+------------------------------------------------------------+
|                                                                                 | A@0 | NAN          | A@1 | NULL         | A@2 | { object(stringable) # Gzhegow\Lib\Modules\Php\Nil } |
+---------------------------------------------------------------------------------+--------------------+--------------------+------------------------------------------------------------+
| B@0 | NAN                                                                       | NAN ? cmpValuesNan | NAN ? cmpValuesNan | NAN ? cmpValuesNan                                         |
| B@56 | { object # stdClass }                                                    | NAN ? cmpValuesObject   | NAN ? cmpValuesObject   | NAN ? cmpValuesObject   | NAN ? cmpValuesObject   | NAN ? cmpValuesObject   | NAN ? cmpValuesObject   |
| B@57 | { object # stdClass }                                                    | NAN ? cmpValuesObject   | NAN ? cmpValuesObject   | NAN ? cmpValuesObject   | NAN ? cmpValuesObject   | NAN ? cmpValuesObject   | NAN ? cmpValuesObject   |
| B@58 | { object # stdClass }                                                    | NAN ? cmpValuesObject   | NAN ? cmpValuesObject   | NAN ? cmpValuesObject   | NAN ? cmpValuesObject   | NAN ? cmpValuesObject   | NAN ? cmpValuesObject   |
| B@59 | { object # stdClass }                                                    | NAN ? cmpValuesObject   | NAN ? cmpValuesObject   | NAN ? cmpValuesObject   | NAN ? cmpValuesObject   | NAN ? cmpValuesObject   | NAN ? cmpValuesObject   |
| B@60 | { object # stdClass }                                                    | NAN ? cmpValuesObject   | NAN ? cmpValuesObject   | NAN ? cmpValuesObject   | NAN ? cmpValuesObject   | NAN ? cmpValuesObject   | NAN ? cmpValuesObject   |
| B@61 | { object(countable(0) iterable serializable) # ArrayObject }             | NAN ? cmpValuesObject   | NAN ? cmpValuesObject   | NAN ? cmpValuesObject   | NAN ? cmpValuesObject   | NAN ? cmpValuesObject   | NAN ? cmpValuesObject   |
| B@62 | { object(countable(1) iterable serializable) # ArrayObject }             | NAN ? cmpValuesObject   | NAN ? cmpValuesObject   | NAN ? cmpValuesObject   | NAN ? cmpValuesObject   | NAN ? cmpValuesObject   | NAN ? cmpValuesObject   |
| B@63 | { object(countable(1) iterable serializable) # ArrayObject }             | NAN ? cmpValuesObject   | NAN ? cmpValuesObject   | NAN ? cmpValuesObject   | NAN ? cmpValuesObject   | NAN ? cmpValuesObject   | NAN ? cmpValuesObject   |
| B@64 | { object(countable(2) iterable serializable) # ArrayObject }             | NAN ? cmpValuesObject   | NAN ? cmpValuesObject   | NAN ? cmpValuesObject   | NAN ? cmpValuesObject   | NAN ? cmpValuesObject   | NAN ? cmpValuesObject   |
+---------------------------------------------------------------------------------+-------------------------+-------------------------+-------------------------+-------------------------+-------------------------+-------------------------+


+---------------------------------------------------------------------------------+----------------------------+-----------------------------+------------------------------+-------------------------------+
|                                                                                 | A@16 | 9223372036854775807 | A@17 | -9223372036854775808 | A@18 | 9.223372036854776E+18 | A@19 | -9.223372036854776E+18 |
+---------------------------------------------------------------------------------+----------------------------+-----------------------------+------------------------------+-------------------------------+
| B@0 | NAN                                                                       | NAN ? cmpValuesNan         | NAN ? cmpValuesNan          | NAN ? cmpValuesNan           | NAN ? cmpValuesNan            |
| B@1 | NULL                                                                      | 1 ? cmpValuesNull          | 1 ? cmpValuesNull           | 1 ? cmpValuesNull            | 1 ? cmpValuesNull             |
| B@2 | { object(stringable) # Gzhegow\Lib\Modules\Php\Nil }                      | NAN ? cmpValuesNil         | NAN ? cmpValuesNil          | NAN ? cmpValuesNil           | NAN ? cmpValuesNil            |
| B@3 | "NAN"                                                                     | 1 ? cmpValuesString        | 1 ? cmpValuesString         | 1 ? cmpValuesString          | 1 ? cmpValuesString           |
| B@4 | "NULL"                                                                    | 1 ? cmpValuesString        | 1 ? cmpValuesString         | 1 ? cmpValuesString          | 1 ? cmpValuesString           |
| B@5 | "{N}"                                                                     | NAN ? cmpValuesNil         | NAN ? cmpValuesNil          | NAN ? cmpValuesNil           | NAN ? cmpValuesNil            |
| B@6 | FALSE                                                                     | 1 ? cmpValuesBoolean       | 1 ? cmpValuesBoolean        | 1 ? cmpValuesBoolean         | 1 ? cmpValuesBoolean          |
| B@7 | TRUE                                                                      | 0 ? cmpValuesBoolean       | 0 ? cmpValuesBoolean        | 0 ? cmpValuesBoolean         | 0 ? cmpValuesBoolean          |
| B@8 | 0                                                                         | 1 ? cmpValuesInteger       | -1 ? cmpValuesInteger       | 1 ? cmpValuesFloat           | -1 ? cmpValuesFloat           |
| B@9 | 1                                                                         | 1 ? cmpValuesInteger       | -1 ? cmpValuesInteger       | 1 ? cmpValuesFloat           | -1 ? cmpValuesFloat           |
| B@10 | 0.0                                                                      | 1 ? cmpValuesInteger       | -1 ? cmpValuesInteger       | 1 ? cmpValuesFloat           | -1 ? cmpValuesFloat           |
| B@11 | 1.0                                                                      | 1 ? cmpValuesInteger       | -1 ? cmpValuesInteger       | 1 ? cmpValuesFloat           | -1 ? cmpValuesFloat           |
| B@12 | 1.1                                                                      | 1 ? cmpValuesFloat         | -1 ? cmpValuesFloat         | 1 ? cmpValuesFloat           | -1 ? cmpValuesFloat           |
| B@13 | 10.0                                                                     | 1 ? cmpValuesInteger       | -1 ? cmpValuesInteger       | 1 ? cmpValuesFloat           | -1 ? cmpValuesFloat           |
| B@14 | 11.0                                                                     | 1 ? cmpValuesInteger       | -1 ? cmpValuesInteger       | 1 ? cmpValuesFloat           | -1 ? cmpValuesFloat           |
| B@15 | 0.11                                                                     | 1 ? cmpValuesFloat         | -1 ? cmpValuesFloat         | 1 ? cmpValuesFloat           | -1 ? cmpValuesFloat           |
| B@16 | 9223372036854775807                                                      | 0 ? cmpValuesInteger       | -1 ? cmpValuesInteger       | 0 ? cmpValuesFloat           | -1 ? cmpValuesFloat           |
| B@17 | -9223372036854775808                                                     | 1 ? cmpValuesInteger       | 0 ? cmpValuesInteger        | 1 ? cmpValuesFloat           | 0 ? cmpValuesFloat            |
| B@18 | 9.223372036854776E+18                                                    | 0 ? cmpValuesFloat         | -1 ? cmpValuesFloat         | 0 ? cmpValuesFloat           | -1 ? cmpValuesFloat           |
| B@19 | -9.223372036854776E+18                                                   | 1 ? cmpValuesFloat         | 0 ? cmpValuesFloat          | 1 ? cmpValuesFloat           | 0 ? cmpValuesFloat            |
| B@20 | 1.7976931348623157E+308                                                  | -1 ? cmpValuesFloat        | -1 ? cmpValuesFloat         | -1 ? cmpValuesFloat          | -1 ? cmpValuesFloat           |
| B@21 | -1.7976931348623157E+308                                                 | 1 ? cmpValuesFloat         | 1 ? cmpValuesFloat          | 1 ? cmpValuesFloat           | 1 ? cmpValuesFloat            |
| B@22 | INF                                                                      | -1 ? cmpValuesFloat        | -1 ? cmpValuesFloat         | -1 ? cmpValuesFloat          | -1 ? cmpValuesFloat           |
| B@23 | -INF                                                                     | 1 ? cmpValuesFloat         | 1 ? cmpValuesFloat          | 1 ? cmpValuesFloat           | 1 ? cmpValuesFloat            |
| B@24 | ""                                                                       | 1 ? cmpValuesString        | 1 ? cmpValuesString         | 1 ? cmpValuesString          | 1 ? cmpValuesString           |
| B@25 | "a"                                                                      | 1 ? cmpValuesString        | 1 ? cmpValuesString         | 1 ? cmpValuesString          | 1 ? cmpValuesString           |
| B@26 | "b"                                                                      | 1 ? cmpValuesString        | 1 ? cmpValuesString         | 1 ? cmpValuesString          | 1 ? cmpValuesString           |
| B@27 | "ab"                                                                     | 1 ? cmpValuesString        | 1 ? cmpValuesString         | 1 ? cmpValuesString          | 1 ? cmpValuesString           |
| B@28 | "ba"                                                                     | 1 ? cmpValuesString        | 1 ? cmpValuesString         | 1 ? cmpValuesString          | 1 ? cmpValuesString           |
| B@29 | "0"                                                                      | 1 ? cmpValuesInteger       | -1 ? cmpValuesInteger       | 1 ? cmpValuesFloat           | -1 ? cmpValuesFloat           |
| B@30 | "1"                                                                      | 1 ? cmpValuesInteger       | -1 ? cmpValuesInteger       | 1 ? cmpValuesFloat           | -1 ? cmpValuesFloat           |
| B@31 | "0.0"                                                                    | 1 ? cmpValuesInteger       | -1 ? cmpValuesInteger       | 1 ? cmpValuesFloat           | -1 ? cmpValuesFloat           |
| B@32 | "1.0"                                                                    | 1 ? cmpValuesInteger       | -1 ? cmpValuesInteger       | 1 ? cmpValuesFloat           | -1 ? cmpValuesFloat           |
| B@33 | "1.1"                                                                    | 1 ? cmpValuesNumeric       | -1 ? cmpValuesNumeric       | 1 ? cmpValuesFloat           | -1 ? cmpValuesFloat           |
| B@34 | "1e1"                                                                    | 1 ? cmpValuesNumeric       | -1 ? cmpValuesNumeric       | 1 ? cmpValuesFloat           | -1 ? cmpValuesFloat           |
| B@35 | "1.1e1"                                                                  | 1 ? cmpValuesNumeric       | -1 ? cmpValuesNumeric       | 1 ? cmpValuesFloat           | -1 ? cmpValuesFloat           |
| B@36 | "1.1e-1"                                                                 | 1 ? cmpValuesNumeric       | -1 ? cmpValuesNumeric       | 1 ? cmpValuesFloat           | -1 ? cmpValuesFloat           |
| B@37 | "9223372036854775807"                                                    | 0 ? cmpValuesInteger       | -1 ? cmpValuesInteger       | 0 ? cmpValuesFloat           | -1 ? cmpValuesFloat           |
| B@38 | "-9223372036854775808"                                                   | 1 ? cmpValuesInteger       | 0 ? cmpValuesInteger        | 1 ? cmpValuesFloat           | 0 ? cmpValuesFloat            |
| B@39 | "9.223372036854776E+18"                                                  | 0 ? cmpValuesNumeric       | -1 ? cmpValuesNumeric       | 0 ? cmpValuesFloat           | -1 ? cmpValuesFloat           |
| B@40 | "-9.223372036854776E+18"                                                 | 1 ? cmpValuesNumeric       | 0 ? cmpValuesNumeric        | 1 ? cmpValuesFloat           | 0 ? cmpValuesFloat            |
| B@41 | "1.797693134862316E+308"                                                 | -1 ? cmpValuesNumeric      | -1 ? cmpValuesNumeric       | -1 ? cmpValuesFloat          | -1 ? cmpValuesFloat           |
| B@42 | "-1.797693134862316E+308"                                                | 1 ? cmpValuesNumeric       | 1 ? cmpValuesNumeric        | 1 ? cmpValuesFloat           | 1 ? cmpValuesFloat            |
| B@43 | "INF"                                                                    | 1 ? cmpValuesString        | 1 ? cmpValuesString         | 1 ? cmpValuesString          | 1 ? cmpValuesString           |
| B@44 | "-INF"                                                                   | 1 ? cmpValuesString        | 1 ? cmpValuesString         | 1 ? cmpValuesString          | 1 ? cmpValuesString           |
| B@45 | { resource(opened) # stream }                                            | NAN ? cmpValuesResource    | NAN ? cmpValuesResource     | NAN ? cmpValuesResource      | NAN ? cmpValuesResource       |
| B@46 | { resource(opened) # stream }                                            | NAN ? cmpValuesResource    | NAN ? cmpValuesResource     | NAN ? cmpValuesResource      | NAN ? cmpValuesResource       |
| B@47 | { resource(closed) }                                                     | NAN ? cmpValuesResource    | NAN ? cmpValuesResource     | NAN ? cmpValuesResource      | NAN ? cmpValuesResource       |
| B@48 | []                                                                       | NAN ? cmpValuesArray       | NAN ? cmpValuesArray        | NAN ? cmpValuesArray         | NAN ? cmpValuesArray          |
| B@49 | [ "" ]                                                                   | NAN ? cmpValuesArray       | NAN ? cmpValuesArray        | NAN ? cmpValuesArray         | NAN ? cmpValuesArray          |
| B@50 | [ "a" ]                                                                  | NAN ? cmpValuesArray       | NAN ? cmpValuesArray        | NAN ? cmpValuesArray         | NAN ? cmpValuesArray          |
| B@51 | [ "a", "b" ]                                                             | NAN ? cmpValuesArray       | NAN ? cmpValuesArray        | NAN ? cmpValuesArray         | NAN ? cmpValuesArray          |
| B@52 | { object(serializable) # DateTime # "1970-01-01T00:00:00.000000+03:00" } | NAN ? cmpValuesDate        | NAN ? cmpValuesDate         | NAN ? cmpValuesDate          | NAN ? cmpValuesDate           |
| B@53 | { object(serializable) # DateTime # "1970-01-01T00:00:01.000000+03:00" } | NAN ? cmpValuesDate        | NAN ? cmpValuesDate         | NAN ? cmpValuesDate          | NAN ? cmpValuesDate           |
| B@54 | { object(serializable) # DateTime # "1970-01-01T00:00:01.500000+03:00" } | NAN ? cmpValuesDate        | NAN ? cmpValuesDate         | NAN ? cmpValuesDate          | NAN ? cmpValuesDate           |
| B@55 | { object # stdClass }                                                    | NAN ? cmpValuesObject      | NAN ? cmpValuesObject       | NAN ? cmpValuesObject        | NAN ? cmpValuesObject         |
| B@56 | { object # stdClass }                                                    | NAN ? cmpValuesObject      | NAN ? cmpValuesObject       | NAN ? cmpValuesObject        | NAN ? cmpValuesObject         |
| B@57 | { object # stdClass }                                                    | NAN ? cmpValuesObject      | NAN ? cmpValuesObject       | NAN ? cmpValuesObject        | NAN ? cmpValuesObject         |
| B@58 | { object # stdClass }                                                    | NAN ? cmpValuesObject      | NAN ? cmpValuesObject       | NAN ? cmpValuesObject        | NAN ? cmpValuesObject         |
| B@59 | { object # stdClass }                                                    | NAN ? cmpValuesObject      | NAN ? cmpValuesObject       | NAN ? cmpValuesObject        | NAN ? cmpValuesObject         |
| B@60 | { object # stdClass }                                                    | NAN ? cmpValuesObject      | NAN ? cmpValuesObject       | NAN ? cmpValuesObject        | NAN ? cmpValuesObject         |
| B@61 | { object(countable(0) iterable serializable) # ArrayObject }             | NAN ? cmpValuesObject      | NAN ? cmpValuesObject       | NAN ? cmpValuesObject        | NAN ? cmpValuesObject         |
| B@62 | { object(countable(1) iterable serializable) # ArrayObject }             | NAN ? cmpValuesObject      | NAN ? cmpValuesObject       | NAN ? cmpValuesObject        | NAN ? cmpValuesObject         |
| B@63 | { object(countable(1) iterable serializable) # ArrayObject }             | NAN ? cmpValuesObject      | NAN ? cmpValuesObject       | NAN ? cmpValuesObject        | NAN ? cmpValuesObject         |
| B@64 | { object(countable(2) iterable serializable) # ArrayObject }             | NAN ? cmpValuesObject      | NAN ? cmpValuesObject       | NAN ? cmpValuesObject        | NAN ? cmpValuesObject         |
+---------------------------------------------------------------------------------+----------------------------+-----------------------------+------------------------------+-------------------------------+


+---------------------------------------------------------------------------------+--------------------------------+---------------------------------+
|                                                                                 | A@20 | 1.7976931348623157E+308 | A@21 | -1.7976931348623157E+308 |
+---------------------------------------------------------------------------------+--------------------------------+---------------------------------+
| B@0 | NAN                                                                       | NAN ? cmpValuesNan             | NAN ? cmpValuesNan              |
| B@1 | NULL                                                                      | 1 ? cmpValuesNull              | 1 ? cmpValuesNull               |
| B@2 | { object(stringable) # Gzhegow\Lib\Modules\Php\Nil }                      | NAN ? cmpValuesNil             | NAN ? cmpValuesNil              |
| B@3 | "NAN"                                                                     | 1 ? cmpValuesString            | 1 ? cmpValuesString             |
| B@4 | "NULL"                                                                    | 1 ? cmpValuesString            | 1 ? cmpValuesString             |
| B@5 | "{N}"                                                                     | NAN ? cmpValuesNil             | NAN ? cmpValuesNil              |
| B@6 | FALSE                                                                     | 1 ? cmpValuesBoolean           | 1 ? cmpValuesBoolean            |
| B@7 | TRUE                                                                      | 0 ? cmpValuesBoolean           | 0 ? cmpValuesBoolean            |
| B@8 | 0                                                                         | 1 ? cmpValuesFloat             | -1 ? cmpValuesFloat             |
| B@9 | 1                                                                         | 1 ? cmpValuesFloat             | -1 ? cmpValuesFloat             |
| B@10 | 0.0                                                                      | 1 ? cmpValuesFloat             | -1 ? cmpValuesFloat             |
| B@11 | 1.0                                                                      | 1 ? cmpValuesFloat             | -1 ? cmpValuesFloat             |
| B@12 | 1.1                                                                      | 1 ? cmpValuesFloat             | -1 ? cmpValuesFloat             |
| B@13 | 10.0                                                                     | 1 ? cmpValuesFloat             | -1 ? cmpValuesFloat             |
| B@14 | 11.0                                                                     | 1 ? cmpValuesFloat             | -1 ? cmpValuesFloat             |
| B@15 | 0.11                                                                     | 1 ? cmpValuesFloat             | -1 ? cmpValuesFloat             |
| B@16 | 9223372036854775807                                                      | 1 ? cmpValuesFloat             | -1 ? cmpValuesFloat             |
| B@17 | -9223372036854775808                                                     | 1 ? cmpValuesFloat             | -1 ? cmpValuesFloat             |
| B@18 | 9.223372036854776E+18                                                    | 1 ? cmpValuesFloat             | -1 ? cmpValuesFloat             |
| B@19 | -9.223372036854776E+18                                                   | 1 ? cmpValuesFloat             | -1 ? cmpValuesFloat             |
| B@20 | 1.7976931348623157E+308                                                  | 0 ? cmpValuesFloat             | -1 ? cmpValuesFloat             |
| B@21 | -1.7976931348623157E+308                                                 | 1 ? cmpValuesFloat             | 0 ? cmpValuesFloat              |
| B@22 | INF                                                                      | -1 ? cmpValuesFloat            | -1 ? cmpValuesFloat             |
| B@23 | -INF                                                                     | 1 ? cmpValuesFloat             | 1 ? cmpValuesFloat              |
| B@24 | ""                                                                       | 1 ? cmpValuesString            | 1 ? cmpValuesString             |
| B@25 | "a"                                                                      | 1 ? cmpValuesString            | 1 ? cmpValuesString             |
| B@26 | "b"                                                                      | 1 ? cmpValuesString            | 1 ? cmpValuesString             |
| B@27 | "ab"                                                                     | 1 ? cmpValuesString            | 1 ? cmpValuesString             |
| B@28 | "ba"                                                                     | 1 ? cmpValuesString            | 1 ? cmpValuesString             |
| B@29 | "0"                                                                      | 1 ? cmpValuesFloat             | -1 ? cmpValuesFloat             |
| B@30 | "1"                                                                      | 1 ? cmpValuesFloat             | -1 ? cmpValuesFloat             |
| B@31 | "0.0"                                                                    | 1 ? cmpValuesFloat             | -1 ? cmpValuesFloat             |
| B@32 | "1.0"                                                                    | 1 ? cmpValuesFloat             | -1 ? cmpValuesFloat             |
| B@33 | "1.1"                                                                    | 1 ? cmpValuesFloat             | -1 ? cmpValuesFloat             |
| B@34 | "1e1"                                                                    | 1 ? cmpValuesFloat             | -1 ? cmpValuesFloat             |
| B@35 | "1.1e1"                                                                  | 1 ? cmpValuesFloat             | -1 ? cmpValuesFloat             |
| B@36 | "1.1e-1"                                                                 | 1 ? cmpValuesFloat             | -1 ? cmpValuesFloat             |
| B@37 | "9223372036854775807"                                                    | 1 ? cmpValuesFloat             | -1 ? cmpValuesFloat             |
| B@38 | "-9223372036854775808"                                                   | 1 ? cmpValuesFloat             | -1 ? cmpValuesFloat             |
| B@39 | "9.223372036854776E+18"                                                  | 1 ? cmpValuesFloat             | -1 ? cmpValuesFloat             |
| B@40 | "-9.223372036854776E+18"                                                 | 1 ? cmpValuesFloat             | -1 ? cmpValuesFloat             |
| B@41 | "1.797693134862316E+308"                                                 | 0 ? cmpValuesFloat             | -1 ? cmpValuesFloat             |
| B@42 | "-1.797693134862316E+308"                                                | 1 ? cmpValuesFloat             | 0 ? cmpValuesFloat              |
| B@43 | "INF"                                                                    | 1 ? cmpValuesString            | 1 ? cmpValuesString             |
| B@44 | "-INF"                                                                   | 1 ? cmpValuesString            | 1 ? cmpValuesString             |
| B@45 | { resource(opened) # stream }                                            | NAN ? cmpValuesResource        | NAN ? cmpValuesResource         |
| B@46 | { resource(opened) # stream }                                            | NAN ? cmpValuesResource        | NAN ? cmpValuesResource         |
| B@47 | { resource(closed) }                                                     | NAN ? cmpValuesResource        | NAN ? cmpValuesResource         |
| B@48 | []                                                                       | NAN ? cmpValuesArray           | NAN ? cmpValuesArray            |
| B@49 | [ "" ]                                                                   | NAN ? cmpValuesArray           | NAN ? cmpValuesArray            |
| B@50 | [ "a" ]                                                                  | NAN ? cmpValuesArray           | NAN ? cmpValuesArray            |
| B@51 | [ "a", "b" ]                                                             | NAN ? cmpValuesArray           | NAN ? cmpValuesArray            |
| B@52 | { object(serializable) # DateTime # "1970-01-01T00:00:00.000000+03:00" } | NAN ? cmpValuesDate            | NAN ? cmpValuesDate             |
| B@53 | { object(serializable) # DateTime # "1970-01-01T00:00:01.000000+03:00" } | NAN ? cmpValuesDate            | NAN ? cmpValuesDate             |
| B@54 | { object(serializable) # DateTime # "1970-01-01T00:00:01.500000+03:00" } | NAN ? cmpValuesDate            | NAN ? cmpValuesDate             |
| B@55 | { object # stdClass }                                                    | NAN ? cmpValuesObject          | NAN ? cmpValuesObject           |
| B@56 | { object # stdClass }                                                    | NAN ? cmpValuesObject          | NAN ? cmpValuesObject           |
| B@57 | { object # stdClass }                                                    | NAN ? cmpValuesObject          | NAN ? cmpValuesObject           |
| B@58 | { object # stdClass }                                                    | NAN ? cmpValuesObject          | NAN ? cmpValuesObject           |
| B@59 | { object # stdClass }                                                    | NAN ? cmpValuesObject          | NAN ? cmpValuesObject           |
| B@60 | { object # stdClass }                                                    | NAN ? cmpValuesObject          | NAN ? cmpValuesObject           |
| B@61 | { object(countable(0) iterable serializable) # ArrayObject }             | NAN ? cmpValuesObject          | NAN ? cmpValuesObject           |
| B@62 | { object(countable(1) iterable serializable) # ArrayObject }             | NAN ? cmpValuesObject          | NAN ? cmpValuesObject           |
| B@63 | { object(countable(1) iterable serializable) # ArrayObject }             | NAN ? cmpValuesObject          | NAN ? cmpValuesObject           |
| B@64 | { object(countable(2) iterable serializable) # ArrayObject }             | NAN ? cmpValuesObject          | NAN ? cmpValuesObject           |
+---------------------------------------------------------------------------------+--------------------------------+---------------------------------+


+---------------------------------------------------------------------------------+----------------------+----------------------+
|                                                                                 | A@22 | INF           | A@23 | -INF          |
+---------------------------------------------------------------------------------+----------------------+----------------------+
| B@0 | NAN                                                                       | NAN ? cmpValuesNan   | NAN ? cmpValuesNan   |
| B@1 | NULL                                                                      | 1 ? cmpValuesNull    | 1 ? cmpValuesNull    |
| B@2 | { object(stringable) # Gzhegow\Lib\Modules\Php\Nil }                      | NAN ? cmpValuesNil   | NAN ? cmpValuesNil   |
| B@3 | "NAN"                                                                     | NAN ? cmpValuesFloat | NAN ? cmpValuesFloat |
| B@4 | "NULL"                                                                    | NAN ? cmpValuesFloat | NAN ? cmpValuesFloat |
| B@5 | "{N}"                                                                     | NAN ? cmpValuesNil   | NAN ? cmpValuesNil   |
| B@6 | FALSE                                                                     | 1 ? cmpValuesBoolean | 1 ? cmpValuesBoolean |
| B@7 | TRUE                                                                      | 0 ? cmpValuesBoolean | 0 ? cmpValuesBoolean |
| B@8 | 0                                                                         | 1 ? cmpValuesFloat   | -1 ? cmpValuesFloat  |
| B@9 | 1                                                                         | 1 ? cmpValuesFloat   | -1 ? cmpValuesFloat  |
| B@10 | 0.0                                                                      | 1 ? cmpValuesFloat   | -1 ? cmpValuesFloat  |
| B@11 | 1.0                                                                      | 1 ? cmpValuesFloat   | -1 ? cmpValuesFloat  |
| B@12 | 1.1                                                                      | 1 ? cmpValuesFloat   | -1 ? cmpValuesFloat  |
| B@13 | 10.0                                                                     | 1 ? cmpValuesFloat   | -1 ? cmpValuesFloat  |
| B@14 | 11.0                                                                     | 1 ? cmpValuesFloat   | -1 ? cmpValuesFloat  |
| B@15 | 0.11                                                                     | 1 ? cmpValuesFloat   | -1 ? cmpValuesFloat  |
| B@16 | 9223372036854775807                                                      | 1 ? cmpValuesFloat   | -1 ? cmpValuesFloat  |
| B@17 | -9223372036854775808                                                     | 1 ? cmpValuesFloat   | -1 ? cmpValuesFloat  |
| B@18 | 9.223372036854776E+18                                                    | 1 ? cmpValuesFloat   | -1 ? cmpValuesFloat  |
| B@19 | -9.223372036854776E+18                                                   | 1 ? cmpValuesFloat   | -1 ? cmpValuesFloat  |
| B@20 | 1.7976931348623157E+308                                                  | 1 ? cmpValuesFloat   | -1 ? cmpValuesFloat  |
| B@21 | -1.7976931348623157E+308                                                 | 1 ? cmpValuesFloat   | -1 ? cmpValuesFloat  |
| B@22 | INF                                                                      | 0 ? cmpValuesFloat   | -1 ? cmpValuesFloat  |
| B@23 | -INF                                                                     | 1 ? cmpValuesFloat   | 0 ? cmpValuesFloat   |
| B@24 | ""                                                                       | NAN ? cmpValuesFloat | NAN ? cmpValuesFloat |
| B@25 | "a"                                                                      | NAN ? cmpValuesFloat | NAN ? cmpValuesFloat |
| B@26 | "b"                                                                      | NAN ? cmpValuesFloat | NAN ? cmpValuesFloat |
| B@27 | "ab"                                                                     | NAN ? cmpValuesFloat | NAN ? cmpValuesFloat |
| B@28 | "ba"                                                                     | NAN ? cmpValuesFloat | NAN ? cmpValuesFloat |
| B@29 | "0"                                                                      | 1 ? cmpValuesFloat   | -1 ? cmpValuesFloat  |
| B@30 | "1"                                                                      | 1 ? cmpValuesFloat   | -1 ? cmpValuesFloat  |
| B@31 | "0.0"                                                                    | 1 ? cmpValuesFloat   | -1 ? cmpValuesFloat  |
| B@32 | "1.0"                                                                    | 1 ? cmpValuesFloat   | -1 ? cmpValuesFloat  |
| B@33 | "1.1"                                                                    | 1 ? cmpValuesFloat   | -1 ? cmpValuesFloat  |
| B@34 | "1e1"                                                                    | 1 ? cmpValuesFloat   | -1 ? cmpValuesFloat  |
| B@35 | "1.1e1"                                                                  | 1 ? cmpValuesFloat   | -1 ? cmpValuesFloat  |
| B@36 | "1.1e-1"                                                                 | 1 ? cmpValuesFloat   | -1 ? cmpValuesFloat  |
| B@37 | "9223372036854775807"                                                    | 1 ? cmpValuesFloat   | -1 ? cmpValuesFloat  |
| B@38 | "-9223372036854775808"                                                   | 1 ? cmpValuesFloat   | -1 ? cmpValuesFloat  |
| B@39 | "9.223372036854776E+18"                                                  | 1 ? cmpValuesFloat   | -1 ? cmpValuesFloat  |
| B@40 | "-9.223372036854776E+18"                                                 | 1 ? cmpValuesFloat   | -1 ? cmpValuesFloat  |
| B@41 | "1.797693134862316E+308"                                                 | 1 ? cmpValuesFloat   | -1 ? cmpValuesFloat  |
| B@42 | "-1.797693134862316E+308"                                                | 1 ? cmpValuesFloat   | -1 ? cmpValuesFloat  |
| B@43 | "INF"                                                                    | NAN ? cmpValuesFloat | NAN ? cmpValuesFloat |
| B@44 | "-INF"                                                                   | NAN ? cmpValuesFloat | NAN ? cmpValuesFloat |
| B@45 | { resource(opened) # stream }                                            | NAN ? cmpValuesFloat | NAN ? cmpValuesFloat |
| B@46 | { resource(opened) # stream }                                            | NAN ? cmpValuesFloat | NAN ? cmpValuesFloat |
| B@47 | { resource(closed) }                                                     | NAN ? cmpValuesFloat | NAN ? cmpValuesFloat |
| B@48 | []                                                                       | NAN ? cmpValuesFloat | NAN ? cmpValuesFloat |
| B@49 | [ "" ]                                                                   | NAN ? cmpValuesFloat | NAN ? cmpValuesFloat |
| B@50 | [ "a" ]                                                                  | NAN ? cmpValuesFloat | NAN ? cmpValuesFloat |
| B@51 | [ "a", "b" ]                                                             | NAN ? cmpValuesFloat | NAN ? cmpValuesFloat |
| B@52 | { object(serializable) # DateTime # "1970-01-01T00:00:00.000000+03:00" } | NAN ? cmpValuesFloat | NAN ? cmpValuesFloat |
| B@53 | { object(serializable) # DateTime # "1970-01-01T00:00:01.000000+03:00" } | NAN ? cmpValuesFloat | NAN ? cmpValuesFloat |
| B@54 | { object(serializable) # DateTime # "1970-01-01T00:00:01.500000+03:00" } | NAN ? cmpValuesFloat | NAN ? cmpValuesFloat |
| B@55 | { object # stdClass }                                                    | NAN ? cmpValuesFloat | NAN ? cmpValuesFloat |
| B@56 | { object # stdClass }                                                    | NAN ? cmpValuesFloat | NAN ? cmpValuesFloat |
| B@57 | { object # stdClass }                                                    | NAN ? cmpValuesFloat | NAN ? cmpValuesFloat |
| B@58 | { object # stdClass }                                                    | NAN ? cmpValuesFloat | NAN ? cmpValuesFloat |
| B@59 | { object # stdClass }                                                    | NAN ? cmpValuesFloat | NAN ? cmpValuesFloat |
| B@60 | { object # stdClass }                                                    | NAN ? cmpValuesFloat | NAN ? cmpValuesFloat |
| B@61 | { object(countable(0) iterable serializable) # ArrayObject }             | NAN ? cmpValuesFloat | NAN ? cmpValuesFloat |
| B@62 | { object(countable(1) iterable serializable) # ArrayObject }             | NAN ? cmpValuesFloat | NAN ? cmpValuesFloat |
| B@63 | { object(countable(1) iterable serializable) # ArrayObject }             | NAN ? cmpValuesFloat | NAN ? cmpValuesFloat |
| B@64 | { object(countable(2) iterable serializable) # ArrayObject }             | NAN ? cmpValuesFloat | NAN ? cmpValuesFloat |
+---------------------------------------------------------------------------------+----------------------+----------------------+


+---------------------------------------------------------------------------------+-------------------------+-------------------------+-------------------------+-------------------------+-------------------------+
